Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
15-10-2018,ADANIGREEN,EQ,35.1,35.9,36.85,35.25,36.85,36.85,36.59,2501987,9.15569E+12,7604,1145459,0.4578
16-10-2018,ADANIGREEN,EQ,36.85,37.6,38.65,37.3,38.65,38.65,38.49,1241610,4.77857E+12,3567,552107,0.4447
17-10-2018,ADANIGREEN,EQ,38.65,40.55,40.55,39.1,39.6,39.35,40.14,2436836,9.78152E+12,6695,854524,0.3507
19-10-2018,ADANIGREEN,EQ,39.35,39.5,39.5,37.4,37.4,37.4,37.78,633110,2.392E+12,3518,365210,0.5769
22-10-2018,ADANIGREEN,EQ,37.4,37.45,38.85,35.55,35.7,35.75,37.13,421538,1.56529E+12,2288,262380,0.6224
23-10-2018,ADANIGREEN,EQ,35.75,35.75,35.75,34,35.5,35.25,34.66,498569,1.72829E+12,2721,273320,0.5482
24-10-2018,ADANIGREEN,EQ,35.25,35.55,37,35.55,37,37,36.86,856135,3.15613E+12,2324,331462,0.3872
25-10-2018,ADANIGREEN,EQ,37,36.9,37.95,35.5,36.75,36.2,36.56,539990,1.97415E+12,3687,278172,0.5151
26-10-2018,ADANIGREEN,EQ,36.2,36.7,37.3,35.5,36.05,36.2,36.46,276450,1.00784E+12,1671,142295,0.5147
29-10-2018,ADANIGREEN,EQ,36.2,38,38,37.9,38,38,38,1008595,3.83264E+12,1043,639874,0.6344
30-10-2018,ADANIGREEN,EQ,38,39.9,39.9,38.45,38.95,39.3,39.72,3882939,1.54226E+13,6292,1474074,0.3796
31-10-2018,ADANIGREEN,EQ,39.3,39.3,40.5,37.35,39.7,39.65,38.65,2857119,1.10438E+13,6843,1225930,0.4291
01-11-2018,ADANIGREEN,EQ,39.65,38.3,41.4,38,40.9,41.05,40.15,1500492,6.025E+12,6581,667574,0.4449
02-11-2018,ADANIGREEN,EQ,41.05,41.95,42.8,41.1,41.3,41.3,42.02,948252,3.98469E+12,4166,560687,0.5913
05-11-2018,ADANIGREEN,EQ,41.3,41.85,43.35,41.85,43.35,43.35,43.27,664924,2.87736E+12,1220,474816,0.7141
